sep=,
"Date","Delivery Date","Document No.","Customer Ref.","Customer","Exclusive","VAT","Total","Sales Rep","Status"
"17/04/2026","30/05/2026","SO4531","PO:029958-WARRANTY CLAIM","Atlas Air Conditioning (Pty) Ltd","0","0","0","Mashudu Tshifularo","Invoiced"
"17/04/2026","24/04/2026","SO4534","PO116771-MCdonalds Harvest Lifestyle","Boleng Mechanical Engineering Services & Consulting","38817.53","5822.63","44640.16","Mashudu Tshifularo","Invoiced"
"20/04/2026","30/04/2026","SO4532","PO 11385","Brasco Electrical (2001) CC","8420.25","1263.04","9683.29","Simon Mokgola","Invoiced"
"20/04/2026","23/04/2026","SO4535","FM4007","Arctic Air (Pty) Ltd","9263","1389.45","10652.45","Mashudu Tshifularo","Invoiced"
"21/04/2026","30/04/2026","SO4536","Warranty Claim - Lineo 250","Weztech Global","0","0","0","Sizwe Tshabalala","Invoiced"
"21/04/2026","29/04/2026","SO4537","PO-0070","Duty Point Pty Ltd","24711.72","3706.76","28418.48","Mashudu Tshifularo","Invoiced"
"21/04/2026","24/04/2026","SO4538","PO2254","Hucra Fans","19839","2975.85","22814.85","Sales Agent Hucra Fans","Invoiced"
"21/04/2026","22/04/2026","SO4539","FM4010","MBS Elecmech Group CC","2650","397.5","3047.5","Mashudu Tshifularo","Invoiced"
"22/04/2026","22/04/2026","SO4540","PO:116776","Boleng Mechanical Engineering Services & Consulting","3490","523.5","4013.5","Mashudu Tshifularo","Invoiced"
"23/04/2026","23/04/2026","SO4541","PO-000006864","Cape Fans (Pty) Ltd","5816","872.4","6688.4","Sizwe Tshabalala","Invoiced"
"23/04/2026","08/05/2026","SO4542","VENDOR NO: 309656 - PO-4500184036","Shoprite Checkers (Pty) Ltd","13972","2095.8","16067.8","Simon Mokgola","Invoiced"
"23/04/2026","30/04/2026","SO4543","Cash Sale","Gwanga Entities Pty Ltd","12225","1833.75","14058.75","Sizwe Tshabalala","Invoiced"
"24/04/2026","29/04/2026","SO4544","CASH SALE","ELECT ACCOUNTING (Pty) Ltd","12820","1923","14743","Sizwe Tshabalala","Invoiced"
"24/04/2026","30/04/2026","SO4545","cash sale","ZEFS More Vision","50128","7519.2","57647.2","Mashudu Tshifularo","Invoiced"
"24/04/2026","05/05/2026","SO4546","PO145956","Howden Power a Div of Howden Africa (Pty) LTD","13424","2013.6","15437.6","Sizwe Tshabalala","Invoiced"
"24/04/2026","30/04/2026","SO4550","FM4021","ZEFS More Vision","4428","664.2","5092.2","Mashudu Tshifularo","Invoiced"
"28/04/2026","28/04/2026","SO4547","PO2257","Hucra Fans","13079","1961.85","15040.85","Sales Agent Hucra Fans","Invoiced"
"28/04/2026","28/04/2026","SO4548","PO501674","Fans Maintenance and More (Pty) Ltd","12114","1817.1","13931.1","Sales Agent Fans Maintenance and More","Invoiced"
"29/04/2026","30/04/2026","SO4549","FM4020","Sulit Projects","1368","205.2","1573.2","Mashudu Tshifularo","Invoiced"
"30/04/2026","30/05/2026","SO4551","QR10872","B & D Aircon and Ventilation (Pty) Ltd","1638.42","245.76","1884.18","Sizwe Tshabalala","Invoiced"
